domain,pair,nA,nB,input_file,input_sha256,inherited,units,subsampling,alignment,basin,individuals,features,source_record,eligible,coverage_cohort,nA_full,nB_full,paper_reported_B,B_fragments,A_author_chain,B_author_chain,model,existing_prepared,blocked_reason,gap_policy,source_coordinate_rounding_A,source_rigid_distance_discrepancies,source_files,s_A,s_B,delta3,delta1,delta2,source_hashes,alignment_record,standardized_features,size_band,selection_score,exclusion_reason,max_length,length_ratio,size_quartile,ratio_group,stratum,reused_prior_storms,reused_current_storms,selection_order,tie_pool_size,pair_alias
protein,1o7j.a__4eca.b,22,22,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__4eca.b.npz,87bc3a01b5c6351d83a9d76da5b2f97dc170b6c90e59a9fad4988458a096ada9,,angstrom,w=16 with last endpoint appended if necessary,existing supplied index-Kabsch alignment; arrays reused exactly,,"['1o7j', '4eca']",,,True,extension,325.0,325.0,325.0,2.0,A,B,1.0,True,,"historical supplied geometric chain has omitted residue 12; retained as supplied, not claimed biologically contiguous",0.001,"[0.0, 0.000867972628846303]","['data\\decimated protein backbones\\decimated_curves.csv', 'data\\decimated protein backbones\\decimated_pairs.csv']",18.95299827936545,17.585842182888463,15.18472410022651,9.476499139682725,8.792921091444232,"{'data\\decimated protein backbones\\decimated_curves.csv': 'df7be1390ec5e6cee2abbc722403d16dc3689397313d5af91d082816271deedb', 'data\\decimated protein backbones\\decimated_pairs.csv': '35b2e5d2b582233de37b2dfaa04ca2d14a68226567eaddf2c18c3312b79235c9'}",,,,,,,,,,,,,,,P6
protein,1o7j.a__4eca.c,22,22,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__4eca.c.npz,39de7ee2c8cc32da7607c02a6a91687aee0a5a0c52ac9c2a56c4ff02fb4de066,,angstrom,w=16 with last endpoint appended if necessary,existing supplied index-Kabsch alignment; arrays reused exactly,,"['1o7j', '4eca']",,,True,extension,325.0,325.0,325.0,2.0,A,C,1.0,True,,"historical supplied geometric chain has omitted residue 12; retained as supplied, not claimed biologically contiguous",0.001,"[0.0, 0.0010728555814196739]","['data\\decimated protein backbones\\decimated_curves.csv', 'data\\decimated protein backbones\\decimated_pairs.csv']",18.95299827936545,17.65986642753239,15.338020113430543,9.476499139682725,8.829933213766195,"{'data\\decimated protein backbones\\decimated_curves.csv': 'df7be1390ec5e6cee2abbc722403d16dc3689397313d5af91d082816271deedb', 'data\\decimated protein backbones\\decimated_pairs.csv': '35b2e5d2b582233de37b2dfaa04ca2d14a68226567eaddf2c18c3312b79235c9'}",,,,,,,,,,,,,,,P7
protein,1o7j.a__3ntx.a,22,22,,,,angstrom,w=16 with last endpoint appended if necessary,not performed,,"['1o7j', '3ntx']",,,False,extension,325.0,331.0,322.0,2.0,A,A,1.0,False,Internal chain break(s); no existing uncropped whole-chain gap-handling policy. Existing preparation splits fragments; cropping/bridging not introduced.,blocked; no new gap bridging,,,,,,,,,,,,,,,,,,,,,,,,P8
protein,1o7j.a__1wls.a,22,22,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__1wls.a.npz,3e35280d1c981235ff03ba1f9960677a0de32ad9561d8e22a7cb9de8e5677ecb,,angstrom,w=16 with last endpoint appended if necessary,existing US-align rigid sequential structural_fit applied to entire observed unequal-length chains before w=16,,"['1o7j', '1wls']",,,True,extension,325.0,328.0,316.0,1.0,A,A,1.0,False,,no internal breaks in selected observed chain; terminal missing residues documented,,,"['data/pdb_cache/1wls.cif', 'data/raw protein backbones/1o7j.a.raw']",18.95299827936545,21.80664548131348,15.999722568438287,9.476499139682725,10.90332274065674,"{'data/pdb_cache/1wls.cif': 'ad17b9b2b0a849b09a9d15ec32161a7f605a3d0392e6618187b0315b6dbd12cf', 'data/raw protein backbones/1o7j.a.raw': '4b644003b60d249981866fed427b764aa57de44ea22f2147b24e76e2b0accd2d'}",output\paper_v1\coverage_extension\inputs\1o7j.a__1wls.a\alignment\alignment.json,,,,,,,,,,,,,,P9
protein,1o7j.a__2eq5.a,22,15,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__2eq5.a.npz,4c34d1b8d5160e061ace244753add2bf13b3efd79790e7d9a6b314d589819d0b,,angstrom,w=16 with last endpoint appended if necessary,existing US-align rigid sequential structural_fit applied to entire observed unequal-length chains before w=16,,"['1o7j', '2eq5']",,,True,extension,325.0,215.0,215.0,1.0,A,A,1.0,False,,no internal breaks in selected observed chain; terminal missing residues documented,,,"['data/pdb_cache/2eq5.cif', 'data/raw protein backbones/1o7j.a.raw']",18.95299827936545,18.756863664496112,41.74655581235364,9.476499139682725,9.378431832248056,"{'data/pdb_cache/2eq5.cif': 'd7b61ee1199d14532bdce0783ddfc356fd9c0d46d8e949bcb1430434ecaa966d', 'data/raw protein backbones/1o7j.a.raw': '4b644003b60d249981866fed427b764aa57de44ea22f2147b24e76e2b0accd2d'}",output\paper_v1\coverage_extension\inputs\1o7j.a__2eq5.a\alignment\alignment.json,,,,,,,,,,,,,,P10
protein,1o7j.a__2zsk.a,22,16,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__2zsk.a.npz,3ec5446d75ccd9c280f57f8b26a0d1cc98e8d224da5d5fa3a122540eb7aff2e1,,angstrom,w=16 with last endpoint appended if necessary,existing US-align rigid sequential structural_fit applied to entire observed unequal-length chains before w=16,,"['1o7j', '2zsk']",,,True,extension,325.0,226.0,219.0,1.0,A,A,1.0,False,,no internal breaks in selected observed chain; terminal missing residues documented,,,"['data/pdb_cache/2zsk.cif', 'data/raw protein backbones/1o7j.a.raw']",18.95299827936545,19.125304289974302,41.96523997114909,9.476499139682725,9.562652144987151,"{'data/pdb_cache/2zsk.cif': 'ce5a249a9b8063aefceb7c3645b58d70c960fbc2a92afe12cd59f89a34089d74', 'data/raw protein backbones/1o7j.a.raw': '4b644003b60d249981866fed427b764aa57de44ea22f2147b24e76e2b0accd2d'}",output\paper_v1\coverage_extension\inputs\1o7j.a__2zsk.a\alignment\alignment.json,,,,,,,,,,,,,,P11
protein,1o7j.a__1zq1.a,22,29,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__1zq1.a.npz,abe5c9f23d524064337134c626eec6262dc0d76df4df10beebde2cb83a9c1b33,,angstrom,w=16 with last endpoint appended if necessary,existing US-align rigid sequential structural_fit applied to entire observed unequal-length chains before w=16,,"['1o7j', '1zq1']",,,True,extension,325.0,437.0,418.0,1.0,A,A,1.0,False,,no internal breaks in selected observed chain; terminal missing residues documented,,,"['data/pdb_cache/1zq1.cif', 'data/raw protein backbones/1o7j.a.raw']",18.95299827936545,20.376654361976797,61.13431499102384,9.476499139682725,10.188327180988399,"{'data/pdb_cache/1zq1.cif': '4fe5d3df84227a8fc99696273eedf0f2aabba10910d3e2068024c94cf5cf4bd0', 'data/raw protein backbones/1o7j.a.raw': '4b644003b60d249981866fed427b764aa57de44ea22f2147b24e76e2b0accd2d'}",output\paper_v1\coverage_extension\inputs\1o7j.a__1zq1.a\alignment\alignment.json,,,,,,,,,,,,,,P12
protein,1o7j.a__3jq0.a,22,31,,,,angstrom,w=16 with last endpoint appended if necessary,not performed,,"['1o7j', '3jq0']",,,False,extension,325.0,478.0,457.0,2.0,A,A,1.0,False,Internal chain break(s); no existing uncropped whole-chain gap-handling policy. Existing preparation splits fragments; cropping/bridging not introduced.,blocked; no new gap bridging,,,,,,,,,,,,,,,,,,,,,,,,P13
protein,1o7j.a__2fep.a,22,18,output\paper_v1\coverage_extension\inputs\protein_1o7j.a__2fep.a.npz,d171f0ed7be03baa883be172bf5fe7cfd57fe2ffdce82b27f61f4033476c5648,,angstrom,w=16 with last endpoint appended if necessary,existing US-align rigid sequential structural_fit applied to entire observed unequal-length chains before w=16,,"['1o7j', '2fep']",,,True,extension,325.0,273.0,273.0,1.0,A,A,1.0,False,,no internal breaks in selected observed chain; terminal missing residues documented,,,"['data/pdb_cache/2fep.cif', 'data/raw protein backbones/1o7j.a.raw']",18.95299827936545,21.355321927970397,49.17725043249195,9.476499139682725,10.677660963985199,"{'data/pdb_cache/2fep.cif': 'c561b0cb555521c7b7addb49bb38642627247134784e856d5627b0c00f8083a4', 'data/raw protein backbones/1o7j.a.raw': '4b644003b60d249981866fed427b764aa57de44ea22f2147b24e76e2b0accd2d'}",output\paper_v1\coverage_extension\inputs\1o7j.a__2fep.a\alignment\alignment.json,,,,,,,,,,,,,,P14
hurricane,AL182011__AL061926,31,27,output\paper_v1\coverage_extension\inputs\hurricane_AL182011__AL061926.npz,ba58f2c03df52031d3334018fbe8e621d469f60aa4cbe71d7b712273476973cc,,projected km,none; every supplied track vertex,unchanged common basin frame; no independent alignment,atlantic,"['AL182011', 'AL061926']","[3.4339872044851463, 0.13815033848081718, 0.5379265053644502, 0.2990048249015015]",,True,extension,,,,,,,,,,,,,"['data/hurricanes/AL182011.txt', 'data/hurricanes/AL061926.txt']",55.574054511762604,70.78002602575945,785.7446885238548,27.787027255881302,35.39001301287973,"{'data/hurricanes/AL182011.txt': '184f81bfa6d1d3651fefb86e6dd696c996e720ed42b93cc8bad893ffe1f8a099', 'data/hurricanes/AL061926.txt': '3dbccb3d3bf1696a755368885ef6bbb0d0762ae9f5d0ef99fde539efbe9d86d7'}",,"[-0.8886973638456469, -0.42089332243491423, -2.5818208338769546, 2.715867516870871]",0.0,"[0, -3.0957770829482842, 'AL182011__AL061926']",,,,,,,,,,,H6
hurricane,EP141997__EP092000,34,25,output\paper_v1\coverage_extension\inputs\hurricane_EP141997__EP092000.npz,ecaedec88bea9b8978999fa4f7e9d2ed13fd72d095668c5b24c2734ed0f2238b,,projected km,none; every supplied track vertex,unchanged common basin frame; no independent alignment,pacific,"['EP141997', 'EP092000']","[3.5263605246161616, 0.3074846997479607, 0.9719752396367717, 0.024237963513110458]",,True,extension,,,,,,,,,,,,,"['data/hurricanes/EP141997.txt', 'data/hurricanes/EP092000.txt']",86.15367090553,89.62529736846373,470.2295889817335,43.076835452765,44.81264868423187,"{'data/hurricanes/EP141997.txt': 'fe558fad395ae57dcf536c68c5d70e4e62a7ee2790e1d0746f18d07777648b47', 'data/hurricanes/EP092000.txt': '1cbff2782b011ffe549ee5ced0248e74686710c5ef20515a17c77a8e891c0676'}",,"[-0.4861450599325271, 0.5671293151132755, 0.8356093259202658, -1.3055524841891866]",1.0,"[0, -3.086161926126787, 'EP141997__EP092000']",,,,,,,,,,,H7
hurricane,EP211990__EP152008,26,38,output\paper_v1\coverage_extension\inputs\hurricane_EP211990__EP152008.npz,65bdc8d3eea9992d1beaddb2846878c75be0c05b7809a08882c9e55aeab693ca,,projected km,none; every supplied track vertex,unchanged common basin frame; no independent alignment,pacific,"['EP211990', 'EP152008']","[3.6375861597263857, 0.3794896217049037, 0.5853214223271791, 0.07209101021218027]",,True,extension,,,,,,,,,,,,,"['data/hurricanes/EP211990.txt', 'data/hurricanes/EP152008.txt']",127.77269081969911,82.56665267460714,234.85273869420817,63.886345409849554,41.28332633730357,"{'data/hurricanes/EP211990.txt': 'b623f39c266f56b148cb14a65cf188a55d57a3e382c49baaf11e63bafa4e8f82', 'data/hurricanes/EP152008.txt': '55adb9be73fbe12c0dfc91321f3609fb10d933af8342c195c3fc6e5043427fad'}",,"[-0.0014365358227898996, 0.9872595968587226, -2.2086626931878595, -0.6051870975667996]",2.0,"[0, -3.131016562562619, 'EP211990__EP152008']",,,,,,,,,,,H8
hurricane,EP041981__EP211992,25,40,output\paper_v1\coverage_extension\inputs\hurricane_EP041981__EP211992.npz,1559555895c7c428ab5c79bae86f9aecd02e4ff060cbfdfb2ca311471c4213b6,,projected km,none; every supplied track vertex,unchanged common basin frame; no independent alignment,pacific,"['EP041981', 'EP211992']","[3.6888794541139363, 0.47000362924573563, 0.9184378963309321, 0.24764476300756672]",,True,extension,,,,,,,,,,,,,"['data/hurricanes/EP041981.txt', 'data/hurricanes/EP211992.txt']",106.27442337310019,68.55375651078134,779.3533485826824,53.137211686550096,34.27687825539067,"{'data/hurricanes/EP041981.txt': '9c87efd280a688501575517f2c7314dc8165745dacd09cb285f15ceb121d3b7a', 'data/hurricanes/EP211992.txt': '39fe514cc976c03ae4c614f6c237241308084cfe22ce4ce94827e8d98823c3c4'}",,"[0.22209374111990854, 1.515385653474391, 0.41408953507114626, 1.9641743210018068]",3.0,"[0, -3.4342308407955207, 'EP041981__EP211992']",,,,,,,,,,,H9
hurricane,AL181887__AL091888,26,64,output\paper_v1\coverage_extension\inputs\hurricane_AL181887__AL091888.npz,6d9b056dfe76b1e50c23bc5a0d5b4f256ed31bcbd8dab24f41a890c4fb482890,,projected km,none; every supplied track vertex,unchanged common basin frame; no independent alignment,atlantic,"['AL181887', 'AL091888']","[4.1588830833596715, 0.9007865453381899, 0.6157776382712477, 0.22280733582375922]",,True,extension,,,,,,,,,,,,,"['data/hurricanes/AL181887.txt', 'data/hurricanes/AL091888.txt']",203.59220072287778,103.34059101547193,1460.4827080122416,101.79610036143889,51.670295507735965,"{'data/hurricanes/AL181887.txt': 'd9bdec59a5478c8d9918ba7524b012c7773404e94bd3088e857e9eeedf79981a', 'data/hurricanes/AL091888.txt': 'b304e7d4939ebfa2c35cff125f9cc6aab2fe1798e2c503c77fcc4bcd99d25db4'}",,"[2.270315495323938, 4.028893660847447, -1.9688693642312634, 1.6006598638830116]",4.0,"[0, -3.94755499438147, 'AL181887__AL091888']",,,,,,,,,,,H10
hurricane,EP172000__EP061970,32,29,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP172000__EP061970.npz,9a55ed4d5f95138585093d7885e7fac6f17d8a995acab45aafa8c6f86cd455b4,,projected km,none; every supplied track vertex,unchanged common basin frame; no independent alignment,pacific,"['EP172000', 'EP061970']","[3.4657359027997265, 0.09844007281325251, 0.9434906591701313, 0.41202198948908436]",,True,three-hurricane extension,,,,,,,,,,,,,"['data/hurricanes/EP172000.txt', 'data/hurricanes/EP061970.txt']",59.95347742211875,56.92047294923291,494.48158570658615,29.976738711059376,28.460236474616455,"{'data/hurricanes/EP172000.txt': '78c44ea567bbb4b816a1643bb2a9565d28deb7fd902cd1c582c40a50be52c101', 'data/hurricanes/EP061970.txt': 'ca46dccf9b079b39c099475fe4921faaf966fd5fa5c5e70e9958c5e126a039c3'}",,"[-0.7503401884767205, -0.6525925542329403, 0.6113394301928564, 4.36995885757723]",0.0,"[0, -2.573971107717998, 'EP172000__EP061970']",,,,,,,,,,,H11
hurricane,EP111995__EP032014,41,41,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP111995__EP032014.npz,19c00cd52bda54c9369680072326d33e4ceaea5dd21ed511a2f524a7b5fdf7b8,,projected km,none; every supplied track vertex,unchanged common basin frame; no independent alignment,pacific,"['EP111995', 'EP032014']","[3.713572066704308, 0.0, 0.7361761925712758, 0.19668292876971438]",,True,three-hurricane extension,,,,,,,,,,,,,"['data/hurricanes/EP111995.txt', 'data/hurricanes/EP032014.txt']",59.50894462915785,55.57607403939651,405.6324822546883,29.754472314578926,27.788037019698255,"{'data/hurricanes/EP111995.txt': '83aaf729598f261ebf502b4adf1bc2cba00cd951ec5822bf59db7f86a1471e72', 'data/hurricanes/EP032014.txt': '1bb40bd873f3070e6f4d480ecf81c56117611ffd4bf70671594b07dc86a96726'}",,"[0.32970130652721447, -1.2269651721326567, -1.020925923385393, 1.218309486868409]",1.0,"[0, -2.6080573594062173, 'EP111995__EP032014']",,,,,,,,,,,H12
hurricane,EP061986__EP131991,38,70,output\paper_v1\hurricane_extension_3\inputs\hurricane_EP061986__EP131991.npz,da81fd2b7de704832cbd3be6f2951d4e46249bca00967c5d3b1e2b7b84676105,,projected km,none; every supplied track vertex,unchanged common basin frame; no independent alignment,pacific,"['EP061986', 'EP131991']","[4.248495242049359, 0.6109090823229731, 0.945816407878258, 0.04576616876600689]",,True,three-hurricane extension,,,,,,,,,,,,,"['data/hurricanes/EP061986.txt', 'data/hurricanes/EP131991.txt']",149.23530477100178,88.37810838478946,444.44557675140607,74.61765238550089,44.18905419239473,"{'data/hurricanes/EP061986.txt': '34d2c6d4b2ff5d8511c6f1cc756a30e61ea2e0dc589cf69a0128fe5b5c4f905c', 'data/hurricanes/EP131991.txt': '7f1e6ca8ffbb30c81f1ba5e8080a4f09b4eb8a2069085981ecfbab35e4bae74f'}",,"[2.660834975277651, 2.3375328913563918, 0.6296509310720989, -0.9904709828994473]",2.0,"[0, -3.5468826811392127, 'EP061986__EP131991']",,,,,,,,,,,H13
hurricane,EP092002__EP171994,26,31,output\paper_v1\hurricane_final_20\inputs\hurricane_EP092002__EP171994.npz,d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d,,projected km,none; every supplied track vertex,unchanged shared basin frame,pacific,"['EP092002', 'EP171994']",,,True,stratified final20,,,,,,,,,,,,,"['data/hurricanes/EP092002.txt', 'data/hurricanes/EP171994.txt']",91.67508049324879,82.35474240370239,366.7686943223481,45.83754024662439,41.177371201851194,"{'data/hurricanes/EP092002.txt': '350940581a9d72c6a06d784c27a596c8d24512e2120570430668b81108452877', 'data/hurricanes/EP171994.txt': 'f52b8f4bf6a06f69e178641713ccfeb9c610b4ff2ef1057b55256aa9a03e532c'}",,,,,,31.0,1.1923076923076923,1.0,balanced,Q1_balanced,[],[],1.0,519.0,H14
