pair,domain,alpha,method,baseline,delta1,delta2,delta3,joint_status,baseline_status,matched_validated,k_joint,k_baseline,vertex_cost,baseline_coupling_feasible,joint_attempt,baseline_attempt
1o7j.a__1d9q.d,protein,1.0,CPS-2F,Independent continuous,18.95299827936545,20.20350417600859,47.96448297438429,state_budget_limit,validated,False,,6.0,,True,output\paper_v1\unified_pilot_results\slots\22\attempts\slot22_739086777aba470a8481508806d02f99,output\paper_v1\unified_pilot_results\slots\24\attempts\slot24_31c363917f9e45649d2c0f71b859a6eb
1o7j.a__1d9q.d,protein,1.0,CPS-3F,Independent discrete,18.95299827936545,20.20350417600859,47.96448297438429,validated,validated,True,13.0,13.0,0.0,True,output\paper_v1\unified_pilot_results\slots\23\attempts\slot23_b83adb2f114340e2b1e0482117050c66,output\paper_v1\unified_pilot_results\slots\21\attempts\slot21_7a5b9ca5e8bc48798aa10f36bf10a98d
1o7j.a__1hfj.c,protein,0.5,CPS-2F,Independent continuous,9.476499139682725,9.537881702673165,0.9993252723713152,validated,validated,True,16.0,16.0,0.0,True,output\paper_v1\unified_pilot_results\slots\25\attempts\slot25_e5ce743da5d4474f8086789aa234a723,output\paper_v1\unified_pilot_results\slots\27\attempts\slot27_3abe46c8e95b4cdd96c9b8eb7f451478
1o7j.a__1hfj.c,protein,0.5,CPS-3F,Independent discrete,9.476499139682725,9.537881702673165,0.9993252723713152,validated,validated,True,20.0,20.0,0.0,True,output\paper_v1\unified_pilot_results\slots\26\attempts\slot26_dd70540fbfa346d9babebd31da1d1eae,output\paper_v1\unified_pilot_results\slots\28\attempts\slot28_1530208469eb432cb8bc302cdc0c09fa
1o7j.a__1hfj.c,protein,1.0,CPS-3F,Independent discrete,18.95299827936545,19.07576340534633,0.9993252723713152,validated,validated,True,5.0,5.0,0.0,True,output\paper_v1\unified_pilot_results\slots\29\attempts\slot29_29c4c84cb8ba494c9ab2694cf23b39ac,output\paper_v1\unified_pilot_results\slots\31\attempts\slot31_ec99ae8c5e444220aca71081e41b28cc
1o7j.a__1hfj.c,protein,1.0,CPS-2F,Independent continuous,18.95299827936545,19.07576340534633,0.9993252723713152,transition_budget_limit,validated,False,,5.0,,True,output\paper_v1\protein_B_transitions_20m\attempts\B_59ec1647ee4e4a51828c60d087ccbbb5,output\paper_v1\unified_pilot_results\slots\30\attempts\slot30_2618baa29e824d7596b152cf9f99cb34
1o7j.a__1qd1.b,protein,0.5,CPS-2F,Independent continuous,9.476499139682725,10.890797290213742,35.978995691931146,unexecuted,validation_incomplete,False,,,,,,output\paper_v1\expanded_comparison\slots\33\attempts\expanded33_cd40b1cb287c4293b17a8c217c343bff
1o7j.a__1qd1.b,protein,0.5,CPS-3F,Independent discrete,9.476499139682725,10.890797290213742,35.978995691931146,unexecuted,unexecuted,False,,,,,,
1o7j.a__1qd1.b,protein,1.0,CPS-2F,Independent continuous,18.95299827936545,21.781594580427484,35.978995691931146,unexecuted,unexecuted,False,,,,,,
1o7j.a__1qd1.b,protein,1.0,CPS-3F,Independent discrete,18.95299827936545,21.781594580427484,35.978995691931146,unexecuted,unexecuted,False,,,,,,
1o7j.a__4eca.d,protein,0.5,CPS-2F,Independent continuous,9.476499139682725,8.78100160685718,15.364049921814237,unexecuted,unexecuted,False,,,,,,
1o7j.a__4eca.d,protein,0.5,CPS-3F,Independent discrete,9.476499139682725,8.78100160685718,15.364049921814237,unexecuted,unexecuted,False,,,,,,
1o7j.a__4eca.d,protein,1.0,CPS-2F,Independent continuous,18.95299827936545,17.56200321371436,15.364049921814237,unexecuted,unexecuted,False,,,,,,
1o7j.a__4eca.d,protein,1.0,CPS-3F,Independent discrete,18.95299827936545,17.56200321371436,15.364049921814237,unexecuted,unexecuted,False,,,,,,
1o7j.a__1toh.a,protein,0.5,CPS-2F,Independent continuous,9.476499139682725,10.346278485309295,37.12846564295379,unexecuted,unexecuted,False,,,,,,
1o7j.a__1toh.a,protein,0.5,CPS-3F,Independent discrete,9.476499139682725,10.346278485309295,37.12846564295379,unexecuted,unexecuted,False,,,,,,
1o7j.a__1toh.a,protein,1.0,CPS-2F,Independent continuous,18.95299827936545,20.69255697061859,37.12846564295379,unexecuted,unexecuted,False,,,,,,
1o7j.a__1toh.a,protein,1.0,CPS-3F,Independent discrete,18.95299827936545,20.69255697061859,37.12846564295379,unexecuted,unexecuted,False,,,,,,
EP111954__EP021984,hurricane,0.5,CPS-2F,Independent continuous,62.59116991555275,21.5881714404469,411.7453872318912,unexecuted,unexecuted,False,,,,,,
EP111954__EP021984,hurricane,0.5,CPS-3F,Independent discrete,62.59116991555275,21.5881714404469,411.7453872318912,unexecuted,unexecuted,False,,,,,,
EP111954__EP021984,hurricane,1.0,CPS-2F,Independent continuous,125.1823398311055,43.1763428808938,411.7453872318912,unexecuted,unexecuted,False,,,,,,
EP111954__EP021984,hurricane,1.0,CPS-3F,Independent discrete,125.1823398311055,43.1763428808938,411.7453872318912,unexecuted,unexecuted,False,,,,,,
AL072006__AL011900,hurricane,0.5,CPS-2F,Independent continuous,83.40813893161072,81.15849951823131,2969.784643498885,unexecuted,unexecuted,False,,,,,,
AL072006__AL011900,hurricane,0.5,CPS-3F,Independent discrete,83.40813893161072,81.15849951823131,2969.784643498885,unexecuted,unexecuted,False,,,,,,
AL072006__AL011900,hurricane,1.0,CPS-2F,Independent continuous,166.81627786322144,162.31699903646262,2969.784643498885,unexecuted,unexecuted,False,,,,,,
AL072006__AL011900,hurricane,1.0,CPS-3F,Independent discrete,166.81627786322144,162.31699903646262,2969.784643498885,unexecuted,unexecuted,False,,,,,,
EP012014__EP212006,hurricane,0.5,CPS-2F,Independent continuous,22.088133009069068,20.773394823842597,628.8969388779135,unexecuted,unexecuted,False,,,,,,
EP012014__EP212006,hurricane,0.5,CPS-3F,Independent discrete,22.088133009069068,20.773394823842597,628.8969388779135,unexecuted,unexecuted,False,,,,,,
EP012014__EP212006,hurricane,1.0,CPS-2F,Independent continuous,44.176266018138136,41.546789647685195,628.8969388779135,unexecuted,unexecuted,False,,,,,,
EP012014__EP212006,hurricane,1.0,CPS-3F,Independent discrete,44.176266018138136,41.546789647685195,628.8969388779135,unexecuted,unexecuted,False,,,,,,
