pair,alias,domain,alpha,nA,nB,delta1,delta2,delta3,units,input_sha256,attempt_path,status,subsequent_search_resource_limited,common_comparison_set,preprocessing,configuration_sha256,aA,bound_A,percentage_A,exact_fraction_A,construction_completed_A,construction_evidence_A,count_source_A,count_field_A,count_source_sha256_A,aB,bound_B,percentage_B,exact_fraction_B,construction_completed_B,construction_evidence_B,count_source_B,count_field_B,count_source_sha256_B
EP111995__EP032014,H12,hurricane,0.5,41,41,29.754472314578926,27.788037019698251,405.63248225468828,projected km,19c00cd52bda54c9369680072326d33e4ceaea5dd21ed511a2f524a7b5fdf7b8,output/paper_v1/hurricane_extension_3/slots/07/attempts/hurricane3_07_4c21c4ed71a9480f8e995dd5d7042530,validated,False,True,Full supplied hurricane tracks; no additional subsampling,a0ed4310fab7d5b9f6de3df6a0e053b503c2e1ad742b6e4a25a7f286302376c6,81,3280,2.4695121951219514,8100/3280,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_extension_3/slots/07/attempts/hurricane3_07_4c21c4ed71a9480f8e995dd5d7042530/raw_solver.json,observation.single_graph_A.auxiliary,6deeb7533deb56262a8aaed6594e3a11d368ecc3ad02f11411a8d63730879d0f,90,3280,2.7439024390243905,9000/3280,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_extension_3/slots/07/attempts/hurricane3_07_4c21c4ed71a9480f8e995dd5d7042530/raw_solver.json,observation.single_graph_B.auxiliary,6deeb7533deb56262a8aaed6594e3a11d368ecc3ad02f11411a8d63730879d0f
EP061986__EP131991,H13,hurricane,0.5,38,70,74.61765238550089,44.189054192394728,444.44557675140607,projected km,da81fd2b7de704832cbd3be6f2951d4e46249bca00967c5d3b1e2b7b84676105,output/paper_v1/hurricane_extension_3/slots/11/attempts/hurricane3_11_1f56e28212ab4666a6da3cc53e3431a0,validated,False,True,Full supplied hurricane tracks; no additional subsampling,4926b7461b3cd69c33db8c9cdb74ef5ef70aba0ff558f28816d64c8f65cae72b,74,2812,2.6315789473684212,7400/2812,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_extension_3/slots/11/attempts/hurricane3_11_1f56e28212ab4666a6da3cc53e3431a0/raw_solver.json,observation.single_graph_A.auxiliary,5e3735e7141a2b227634a4ed42cfe2e404c02df516bce2ecf1a666ea1cc92126,138,9660,1.4285714285714286,13800/9660,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_extension_3/slots/11/attempts/hurricane3_11_1f56e28212ab4666a6da3cc53e3431a0/raw_solver.json,observation.single_graph_B.auxiliary,5e3735e7141a2b227634a4ed42cfe2e404c02df516bce2ecf1a666ea1cc92126
EP092002__EP171994,H14,hurricane,0.5,26,31,45.837540246624393,41.177371201851201,366.7686943223481,projected km,d9373018d366573f51130baa294c338f83ffeedf55f6b14210dc3ec268db151d,output/paper_v1/hurricane_final_20/slots/03/attempts/final20_03_30ed5a490d4340e4b557ed8452b1516c,validated,False,True,Full supplied hurricane tracks; no additional subsampling,5c9c22c37fb23503fce47c6622933108aa3f2cd32d290afd9a925f7942f34860,50,1300,3.8461538461538463,5000/1300,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/03/attempts/final20_03_30ed5a490d4340e4b557ed8452b1516c/raw_solver.json,observation.single_graph_A.auxiliary,83944c1dee39833a476df40138905bfd2a698933dbebecf26ce22de93ec1c9ca,62,1860,3.3333333333333335,6200/1860,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/03/attempts/final20_03_30ed5a490d4340e4b557ed8452b1516c/raw_solver.json,observation.single_graph_B.auxiliary,83944c1dee39833a476df40138905bfd2a698933dbebecf26ce22de93ec1c9ca
AL091944__AL031917,H15,hurricane,0.5,29,35,121.98706822368264,110.72765278464296,780.7843688813,projected km,db58d5a0ccf7f77010e45e75cfb88aa32c39e3bba6f00c9a54ceb25a6f6a955d,output/paper_v1/hurricane_final_20/slots/06/attempts/final20_06_866e9f142f5548c9b31eea1aac3dc726,validated,False,True,Full supplied hurricane tracks; no additional subsampling,3a2891d0389ebfd14ebe9a2250bdf36f4e6136267303d04c7155d605575da4b8,56,1624,3.4482758620689653,5600/1624,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/06/attempts/final20_06_866e9f142f5548c9b31eea1aac3dc726/raw_solver.json,observation.single_graph_A.auxiliary,1103cc7dd2dbd056ba0dcbec792681490b03ca7b268cb600ea7760bd82b84d11,68,2380,2.8571428571428572,6800/2380,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/06/attempts/final20_06_866e9f142f5548c9b31eea1aac3dc726/raw_solver.json,observation.single_graph_B.auxiliary,1103cc7dd2dbd056ba0dcbec792681490b03ca7b268cb600ea7760bd82b84d11
EP101985__EP151985,H16,hurricane,0.5,37,38,47.806872378613967,51.042034331068002,406.85909889789855,projected km,198a2064c5a3b34d6c35ed1796113bb59541fac26e1f7574831025b960c8a87f,output/paper_v1/hurricane_final_20/slots/09/attempts/final20_09_eb7bd5f7323448baa7ad1468993fe005,validated,False,True,Full supplied hurricane tracks; no additional subsampling,d8d4627b8a64fbecf7cd09fa62d1d03e4e9041c6cf9913f43bf8092a998cde4c,72,2664,2.7027027027027026,7200/2664,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/09/attempts/final20_09_eb7bd5f7323448baa7ad1468993fe005/raw_solver.json,observation.single_graph_A.auxiliary,12616f203647119410e4efcec3991d2732a75c3736da9af524ab0d6b7460dd2b,73,2812,2.5960170697012801,7300/2812,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/09/attempts/final20_09_eb7bd5f7323448baa7ad1468993fe005/raw_solver.json,observation.single_graph_B.auxiliary,12616f203647119410e4efcec3991d2732a75c3736da9af524ab0d6b7460dd2b
EP031965__EP141991,H17,hurricane,0.5,25,42,48.708645368633803,35.452931645468738,434.69132967111273,projected km,5f0259d773d05eb0b0d9aa87bec1a403edc2ebe426ac37986dc304fb3a2b70cf,output/paper_v1/hurricane_final_20/slots/16/attempts/final20_16_d4e35d041ef04ad5989ece181a5d19a1,validated,False,True,Full supplied hurricane tracks; no additional subsampling,eb8ecbeacc37ca673f0f4a3934369bea7da37e2920d3954a861a745b187f77bb,48,1200,4,4800/1200,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/16/attempts/final20_16_d4e35d041ef04ad5989ece181a5d19a1/raw_solver.json,observation.single_graph_A.auxiliary,4442c348b97d681b3a4aa4c6af7118d2132c1150b5dc2d96c24525d24484e1d0,82,3444,2.3809523809523809,8200/3444,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/16/attempts/final20_16_d4e35d041ef04ad5989ece181a5d19a1/raw_solver.json,observation.single_graph_B.auxiliary,4442c348b97d681b3a4aa4c6af7118d2132c1150b5dc2d96c24525d24484e1d0
EP041976__EP041984,H19,hurricane,0.5,30,48,83.644020510564445,50.390768547930129,436.5324275155856,projected km,2b36cf5f84c94603b94c277ea7970c2e6cf82612160bc26c97cfa9ab20d6faf9,output/paper_v1/hurricane_final_20/slots/22/attempts/final20_22_2aadd96ecd56487888d5543761e41814,validated,False,True,Full supplied hurricane tracks; no additional subsampling,e0140cc95b29ac296e7138c2226f8548cae6b560c14a96d9948e7e7f5305fd1d,58,1740,3.3333333333333335,5800/1740,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/22/attempts/final20_22_2aadd96ecd56487888d5543761e41814/raw_solver.json,observation.single_graph_A.auxiliary,4489af41fa89fe9f8f0fae1de58481ed6663cd891e4671cc52574dde2be1a059,92,4512,2.0390070921985815,9200/4512,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/22/attempts/final20_22_2aadd96ecd56487888d5543761e41814/raw_solver.json,observation.single_graph_B.auxiliary,4489af41fa89fe9f8f0fae1de58481ed6663cd891e4671cc52574dde2be1a059
EP081967__EP101980,H20,hurricane,0.5,25,26,58.498261891552069,56.245169777886467,275.44791556724471,projected km,0946514b39933f9ee0d804e81a1a0d4ec1b8e11aaa85884cc2187bcb3030e97c,output/paper_v1/hurricane_final_20/slots/25/attempts/final20_25_66c8bad9489b41fab6327cf23c780263,validated,False,True,Full supplied hurricane tracks; no additional subsampling,9ddf7f696bc1832dae69122313bbd0ffe755fa44fe87ed25447e3378ecd5052a,47,1200,3.9166666666666665,4700/1200,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/25/attempts/final20_25_66c8bad9489b41fab6327cf23c780263/raw_solver.json,observation.single_graph_A.auxiliary,9cb22e4ef5c8ed1eb531e8804aefca2c16578a31cde957903fe771a60e09daf5,50,1300,3.8461538461538463,5000/1300,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/25/attempts/final20_25_66c8bad9489b41fab6327cf23c780263/raw_solver.json,observation.single_graph_B.auxiliary,9cb22e4ef5c8ed1eb531e8804aefca2c16578a31cde957903fe771a60e09daf5
EP031994__EP031978,H21,hurricane,0.5,29,35,55.959134751814815,50.925845594557714,569.75203812735936,projected km,1d28bc38a35762d764489667768030a48b0d3b023d8e11cf8dd1e994b766d591,output/paper_v1/hurricane_final_20/slots/32/attempts/final20_32_d7629be544a04b7c9a22f439d333fc89,validated,False,True,Full supplied hurricane tracks; no additional subsampling,73277b2d23ac00741dba853a64d0545ad5dffadd27cde17e0ce246cc5089b6b4,56,1624,3.4482758620689653,5600/1624,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/32/attempts/final20_32_d7629be544a04b7c9a22f439d333fc89/raw_solver.json,observation.single_graph_A.auxiliary,22e8ce1359da2c2f378095188044a310c1c2e46ca5d67c7ec530c7624e064841,68,2380,2.8571428571428572,6800/2380,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/32/attempts/final20_32_d7629be544a04b7c9a22f439d333fc89/raw_solver.json,observation.single_graph_B.auxiliary,22e8ce1359da2c2f378095188044a310c1c2e46ca5d67c7ec530c7624e064841
EP021985__EP181984,H22,hurricane,0.5,41,36,43.37875585432532,36.587533520770677,472.34245519819621,projected km,55cb19cbe18e96961f064d76de7fb24a5594e61c951d573b5bcccb3346af57b6,output/paper_v1/hurricane_final_20/slots/35/attempts/final20_35_ebb9bf586aa24487a1f9d9f887ce4018,validated,False,True,Full supplied hurricane tracks; no additional subsampling,144f6019613453b7dbe31354e8b6bb57cc5cd81ef2dbde85eb79c18614870c81,80,3280,2.4390243902439024,8000/3280,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/35/attempts/final20_35_ebb9bf586aa24487a1f9d9f887ce4018/raw_solver.json,observation.single_graph_A.auxiliary,4eb3868cbef46c417b1d60e4485dd69e3730a7ee987337711a4c56a749bd9ce9,69,2520,2.7380952380952381,6900/2520,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/35/attempts/final20_35_ebb9bf586aa24487a1f9d9f887ce4018/raw_solver.json,observation.single_graph_B.auxiliary,4eb3868cbef46c417b1d60e4485dd69e3730a7ee987337711a4c56a749bd9ce9
AL101886__AL051950,H23,hurricane,0.5,25,38,43.474298909026594,35.763131769404808,820.00038498153151,projected km,f25f94d3a701d9a25b14646dc7b39b615e35be775c28cac17d3aa907bd4c8de6,output/paper_v1/hurricane_final_20/slots/38/attempts/final20_38_58df75aaae554088a8460ccc5c84df2f,validated,False,True,Full supplied hurricane tracks; no additional subsampling,ba3ff3b8df7e06b4925970752da8b2cfe6a134b6f957e0b5e953956232b241e5,48,1200,4,4800/1200,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/38/attempts/final20_38_58df75aaae554088a8460ccc5c84df2f/raw_solver.json,observation.single_graph_A.auxiliary,2589a0f0e836989aede3cebb47cd3f2f4bc0e12af630af0121f27e58e21b8327,77,2812,2.7382645803698433,7700/2812,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/38/attempts/final20_38_58df75aaae554088a8460ccc5c84df2f/raw_solver.json,observation.single_graph_B.auxiliary,2589a0f0e836989aede3cebb47cd3f2f4bc0e12af630af0121f27e58e21b8327
AL091947__AL011953,H24,hurricane,0.5,36,53,52.295119358298393,32.915760399141355,1009.5226098832308,projected km,4031a8fd96ff75fa97fa22b47e517942f0d69918d5e7e816aeefb1b31df04589,output/paper_v1/hurricane_final_20/slots/41/attempts/final20_41_0a466baa66464fb3943e4e57645c28be,validated,False,True,Full supplied hurricane tracks; no additional subsampling,b52c47a70db9f61a86ba35fdc100685b8b5f5c4ed3462d2d47206a93926bfea4,70,2520,2.7777777777777777,7000/2520,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/41/attempts/final20_41_0a466baa66464fb3943e4e57645c28be/raw_solver.json,observation.single_graph_A.auxiliary,20a7df3292c41c98f272c65f30ff3166762ed65960a5ce65af1b155acaeb3036,116,5512,2.1044992743105952,11600/5512,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/41/attempts/final20_41_0a466baa66464fb3943e4e57645c28be/raw_solver.json,observation.single_graph_B.auxiliary,20a7df3292c41c98f272c65f30ff3166762ed65960a5ce65af1b155acaeb3036
EP072011__EP092011,H25,hurricane,0.5,26,50,61.390107461780417,38.924223438245598,401.58579846225882,projected km,713b56e638ff3d937cd45d4d877fd079194042f824e2bf0397f43daf6fc357df,output/paper_v1/hurricane_final_20/slots/48/attempts/final20_48_2edd7361056443178e128d82458295ee,validated,False,True,Full supplied hurricane tracks; no additional subsampling,7ccb17140e28ad27a51dcc850cd402ac1e23310e02bd355e55ba19d9bcb65b04,50,1300,3.8461538461538463,5000/1300,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/48/attempts/final20_48_2edd7361056443178e128d82458295ee/raw_solver.json,observation.single_graph_A.auxiliary,a8e9a247b0b50b1f8307bf0a70cb574e1a0a6bc713851c408ea8e9322da9849d,98,4900,2,9800/4900,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/48/attempts/final20_48_2edd7361056443178e128d82458295ee/raw_solver.json,observation.single_graph_B.auxiliary,a8e9a247b0b50b1f8307bf0a70cb574e1a0a6bc713851c408ea8e9322da9849d
AL171980__AL112009,H26,hurricane,0.5,25,31,46.162366798183029,45.705950116715698,581.976309646647,projected km,5de1fe8932de570845156bf23d5f0b282c1e5938a22df37324c8f517a6fe250f,output/paper_v1/hurricane_final_20/slots/51/attempts/final20_51_14a139201f594820b2f7e7b3059dcaad,validated,False,True,Full supplied hurricane tracks; no additional subsampling,e4eadb0966f5dc29ddb61fc384645c7fb97257779e6d11cf19c26b5e3e2f669c,48,1200,4,4800/1200,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/51/attempts/final20_51_14a139201f594820b2f7e7b3059dcaad/raw_solver.json,observation.single_graph_A.auxiliary,5a2109b61c8a85b11c40c217f012a5f341bb3a600b660c5b64f6c94281e758c3,60,1860,3.225806451612903,6000/1860,True,Explicit completed single-curve graph; auxiliary generation finished before graph return,output/paper_v1/hurricane_final_20/slots/51/attempts/final20_51_14a139201f594820b2f7e7b3059dcaad/raw_solver.json,observation.single_graph_B.auxiliary,5a2109b61c8a85b11c40c217f012a5f341bb3a600b660c5b64f6c94281e758c3
