domain,pair,case,nA,nB,units,alpha,s_A,s_B,delta1,delta2,delta3,input_file,method,repetition,cached,runtime_kind,status,route,failure_reason,hard_seconds,memory_limit_mib,process_wall_seconds,peak_process_rss_mib,measured_execution_count,baseline_method,baseline_missing,resource_monitoring_valid,peak_memory_scope,kA,kB,k,compression_removed_pct,continuous_A_lower,continuous_A_upper,continuous_B_lower,continuous_B_upper,coupling_distance,coupling_budget_ratio,vertex_cost_vs_matching_baseline,solve_seconds,warmup_seconds,lower_bound,states_discovered,transitions_examined,discrete_fidelity_A,discrete_fidelity_B,coupling_feasible,unequal_output_lengths,repeated_coupling_index,constraints_valid
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a0.5,25,25,projected km,0.5,170.55199340819394,164.03192020188183,85.27599670409697,82.01596010094092,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,CPS-2F,1,False,diagnostic single execution,optimal,alternate_certificate,,20.0,512,52.541103499999736,151.85546875,1,Independent continuous,False,True,"sum of RSS over launcher and descendants, including imports/warmup; sampled",5.0,5.0,5.0,80.0,75.3257305496997,75.32573718845292,80.1628386950294,80.16284423020699,426.1842176844774,1.0,0.0,4.1461597999878,3.01181889999134,5.0,0.0,0.0,891.038375042944,742.918961177126,True,False,False,True
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a0.5,25,25,projected km,0.5,170.55199340819394,164.03192020188183,85.27599670409697,82.01596010094092,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,CPS-3F,1,False,diagnostic single execution,optimal,independent_certificate,,20.0,512,6.064050200002384,149.140625,1,Independent discrete,False,True,"sum of RSS over launcher and descendants, including imports/warmup; sampled",20.0,19.0,20.0,22.0,32.61762019704306,32.617625207865075,16.298407143279604,16.29841681775634,426.1842176844774,1.0,0.0,0.0353590000013355,1.5126583999954164,20.0,0.0,0.0,84.06764326731184,81.15539294939066,True,True,True,True
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a1,25,25,projected km,1.0,170.55199340819394,164.03192020188183,170.55199340819394,164.03192020188183,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,Independent continuous,1,False,diagnostic single execution,optimal,independent_optimization,,20.0,512,19.48098199999368,150.13671875,1,Independent continuous,False,True,"sum of RSS over launcher and descendants, including imports/warmup; sampled",4.0,4.0,4.0,84.0,157.86509683758018,157.8651061347527,141.92971402346427,141.92972095819664,465.82897638768674,1.0930225875528785,0.0,0.0477847000001929,9.847885099996349,,,,1247.8453722730112,930.7640236675084,False,False,False,True
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a1,25,25,projected km,1.0,170.55199340819394,164.03192020188183,170.55199340819394,164.03192020188183,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,Independent discrete,1,False,diagnostic single execution,optimal,independent_optimization,,20.0,512,36.10505670000566,148.890625,1,Independent discrete,False,True,"sum of RSS over launcher and descendants, including imports/warmup; sampled",16.0,15.0,16.0,38.0,35.02627340802511,35.02628272322359,68.9345213613083,68.93453063803253,426.1842176844774,1.0,0.0,0.0782847999944351,9.72672639999655,,,,156.28309691137423,155.6376060886313,True,True,True,True
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a1,25,25,projected km,1.0,170.55199340819394,164.03192020188183,170.55199340819394,164.03192020188183,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,CPS-2F,1,False,diagnostic single execution,startup_resource_limit,none,Warm-up hit the 8-second soft limit before the pilot solve; see logs\hurricane_AL031854__AL011991_a1_CPS-2F.log,20.0,512,39.67675600000075,151.0234375,0,Independent continuous,False,True,"sum of RSS over launcher and descendants, including imports/warmup; sampled",,,,,,,,,,,,,,,,,,,,,,
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a1,25,25,projected km,1.0,170.55199340819394,164.03192020188183,170.55199340819394,164.03192020188183,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,CPS-3F,1,False,diagnostic single execution,optimal,independent_certificate,,20.0,512,6.929307400001562,149.00390625,1,Independent discrete,False,True,"sum of RSS over launcher and descendants, including imports/warmup; sampled",16.0,15.0,16.0,38.0,35.02627340802511,35.02628272322359,68.9345213613083,68.93453063803253,426.1842176844774,1.0,0.0,0.0179474999895319,1.0917700999998488,16.0,0.0,0.0,156.28309691137423,155.6376060886313,True,True,True,True
hurricane,EP021949__EP031949,hurricane:EP021949__EP031949:a0.5,25,25,projected km,0.5,80.51014757430335,72.96314160303547,40.25507378715167,36.48157080151773,565.3421428246969,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,Independent continuous,1,False,diagnostic single execution,optimal,independent_optimization,,20.0,512,49.50013600000239,150.28125,1,Independent continuous,False,True,"sum of RSS over launcher and descendants, including imports/warmup; sampled",5.0,5.0,5.0,80.0,35.1840214931716,35.1840301942676,31.64601049174981,31.64601859317827,790.6098883954147,1.3984626803959483,0.0,0.0312491000076988,17.2402379999985,,,,291.9603338383658,543.6776607993012,False,False,False,True
hurricane,EP021949__EP031949,hurricane:EP021949__EP031949:a0.5,25,25,projected km,0.5,80.51014757430335,72.96314160303547,40.25507378715167,36.48157080151773,565.3421428246969,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,Independent discrete,1,False,diagnostic single execution,optimal,independent_optimization,,20.0,512,48.30421810000553,148.734375,1,Independent discrete,False,True,"sum of RSS over launcher and descendants, including imports/warmup; sampled",25.0,18.0,25.0,14.000000000000002,0.0,0.0,22.25245746964613,22.252463374099925,565.3421428246969,1.0,0.0,0.0211858999973628,12.930011200005538,,,,0.0,24.76507416362809,True,True,True,True
hurricane,EP021949__EP031949,hurricane:EP021949__EP031949:a0.5,25,25,projected km,0.5,80.51014757430335,72.96314160303547,40.25507378715167,36.48157080151773,565.3421428246969,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,CPS-2F,1,False,diagnostic single execution,other_resource_limit,none,product transition budget exceeded,20.0,512,9.34130249998998,154.6875,1,Independent continuous,False,True,"sum of RSS over launcher and descendants, including imports/warmup; sampled",,,,,,,,,,,,4.158822100012912,1.6471371999941766,,,,,,,,,
hurricane,EP021949__EP031949,hurricane:EP021949__EP031949:a0.5,25,25,projected km,0.5,80.51014757430335,72.96314160303547,40.25507378715167,36.48157080151773,565.3421428246969,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,CPS-3F,1,False,diagnostic single execution,optimal,independent_certificate,,20.0,512,21.32071469999209,148.70703125,1,Independent discrete,False,True,"sum of RSS over launcher and descendants, including imports/warmup; sampled",25.0,18.0,25.0,14.000000000000002,0.0,0.0,22.25245746964613,22.252463374099925,565.3421428246969,1.0,0.0,0.0346921000018483,3.676923299994087,25.0,0.0,0.0,0.0,24.76507416362809,True,True,True,True
hurricane,EP021949__EP031949,hurricane:EP021949__EP031949:a1,25,25,projected km,1.0,80.51014757430335,72.96314160303547,80.51014757430335,72.96314160303547,565.3421428246969,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,Independent continuous,1,False,diagnostic single execution,optimal,independent_optimization,,20.0,512,35.84837829999742,148.66796875,1,Independent continuous,False,True,"sum of RSS over launcher and descendants, including imports/warmup; sampled",4.0,2.0,4.0,88.0,74.17098170750162,74.17098805862149,67.44353913346764,67.44354470021463,674.8358646699581,1.1936769144755115,0.0,0.039104600000428,5.079315299997688,,,,426.21643906620966,747.1561342533432,False,True,True,True
hurricane,EP021949__EP031949,hurricane:EP021949__EP031949:a1,25,25,projected km,1.0,80.51014757430335,72.96314160303547,80.51014757430335,72.96314160303547,565.3421428246969,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,Independent discrete,1,False,diagnostic single execution,optimal,independent_optimization,,20.0,512,21.785327900011907,148.44921875,1,Independent discrete,False,True,"sum of RSS over launcher and descendants, including imports/warmup; sampled",15.0,15.0,15.0,40.0,11.64030429767748,11.640313576960905,67.44353572739033,67.44354376728727,563.7413269498431,0.9971684122700364,0.0,0.0536627999972552,5.008352599994396,,,,77.8402711599851,67.44354376728727,True,False,True,True
hurricane,EP021949__EP031949,hurricane:EP021949__EP031949:a1,25,25,projected km,1.0,80.51014757430335,72.96314160303547,80.51014757430335,72.96314160303547,565.3421428246969,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,CPS-2F,1,False,diagnostic single execution,optimal,alternate_certificate,,20.0,512,13.87901009999041,151.296875,1,Independent continuous,False,True,"sum of RSS over launcher and descendants, including imports/warmup; sampled",4.0,4.0,4.0,84.0,74.17098170750162,74.17098805862149,68.19860674519464,68.19861293996686,540.7984461545446,0.956586118721804,0.0,0.4002398000011453,6.1553696999908425,4.0,0.0,0.0,426.21643906620966,415.7241269010255,True,False,False,True
hurricane,EP021949__EP031949,hurricane:EP021949__EP031949:a1,25,25,projected km,1.0,80.51014757430335,72.96314160303547,80.51014757430335,72.96314160303547,565.3421428246969,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,CPS-3F,1,False,diagnostic single execution,optimal,independent_certificate,,20.0,512,25.00475850001385,149.03125,1,Independent discrete,False,True,"sum of RSS over launcher and descendants, including imports/warmup; sampled",15.0,15.0,15.0,40.0,11.64030429767748,11.640313576960905,67.44353572739033,67.44354376728727,563.7413269498431,0.9971684122700364,0.0,0.0214597000012872,1.5482350000092993,15.0,0.0,0.0,77.8402711599851,67.44354376728727,True,False,True,True
